Manuscript item	Repository script or file	Status	Notes
Supplementary Figure S21	locked_source_data/bulk/TCGA_LIHC_Fig6B_source.csv; locked_source_data/bulk/GSE14520_Fig6C_source.csv	completed	Locked bulk survival source tables.
Supplementary Figure S22	scripts/15_NicheNet_analysis.R	mapped	Focused NicheNet ligand activity prioritization.
Supplementary Figure S25	scripts/02_glycolysis_scoring.R	mapped	Leave-one-out glycolysis-score robustness check.
Supplementary Figure S27	scripts/02_glycolysis_scoring.R	mapped	AUCell-independent scoring-method sensitivity.
Supplementary Figure S29	scripts/02_glycolysis_scoring.R	mapped	Patient-level pseudobulk sensitivity.
Supplementary Figure S30	scripts/12_GSE235863_exploratory_association.R	mapped	Exploratory small ICI-containing cohort context only.
Supplementary Figure S31	scripts/revision/gse189903_locked_replication_python.py; scripts/revision/generate_gse189903_replication_figure.py; expected_outputs/revision/Supplementary_Table_S12.xlsx	completed	Independent GSE189903 locked HCC malignant-cell replication; no re-optimization.
Supplementary Figure S32	scripts/revision/gse149614_leave_four_out_expression_python.py; scripts/revision/generate_gse149614_leave_four_out_figure.py; expected_outputs/revision/Supplementary_Table_S13.xlsx	completed	Discovery-cohort leave-four-out sensitivity excluding TPI1/ENO1/LDHA/SLC2A1.
Supplementary Figure S33	scripts/revision/gse238264_spatial_block_permutation_python.py; scripts/revision/generate_gse238264_spatial_block_figure.py; expected_outputs/revision/Supplementary_Table_S14.xlsx	completed	Public-Visium spatial-block empirical sensitivity; separate from RCTD-adjusted regression.
Supplementary Table S1	README.md	mapped	Curated 22-gene glycolysis gene set documented in manuscript and repository notes.
Supplementary Table S2	scripts/01_QC_clustering.R	mapped	Cell count and annotation summaries.
Supplementary Table S3	scripts/16_patient_level_ligand_effects.R	completed	Patient-aware ligand summaries.
Supplementary Table S4	scripts/03_cellchat_analysis.R; scripts/15_NicheNet_analysis.R; scripts/18_LIANA_directional_concordance.R; scripts/11_spatial_transcriptomics.R	mapped	Communication, ligand-response, LIANA, and spatial model summaries.
Supplementary Table S5	scripts/02_glycolysis_scoring.R	mapped	Alternative scoring-method concordance.
Supplementary Table S6	scripts/02_glycolysis_scoring.R	mapped	Patient-level pseudobulk robustness.
Supplementary Table S8	DATA_AND_CLAIM_BOUNDARIES.md	mapped	Evidence ladder and claim boundaries.
Supplementary Table S10	scripts/revision/patient_internal_median_sensitivity.py; expected_outputs/revision/Supplementary_Table_S10.xlsx	completed	Patient-internal grouping stability only; not expression reassociation.
Supplementary Table S11	scripts/revision/gse14520_stable_cox_python_validation.py; expected_outputs/revision/Supplementary_Table_S11.xlsx	completed	Stable GSE14520 Cox reconstruction with binary AFP coding.
Supplementary Table S12	scripts/revision/gse189903_locked_replication_python.py; expected_outputs/revision/Supplementary_Table_S12.xlsx	completed	Independent GSE189903 locked replication.
Supplementary Table S13	scripts/revision/gse149614_leave_four_out_expression_python.py; expected_outputs/revision/Supplementary_Table_S13.xlsx	completed	Leave-four-out expression sensitivity.
Supplementary Table S14	scripts/revision/gse238264_spatial_block_permutation_python.py; expected_outputs/revision/Supplementary_Table_S14.xlsx	completed	Spatial-block permutation sensitivity.
README / homepage	README.md	completed	Repository scope, locked conventions, public data resources, and workflow entry point.
Revision note	docs/REVISION_REPRODUCIBILITY_NOTE.md	completed	Clarifies completed analyses versus prepared-but-not-claimed templates.
Run order	RUN_ORDER.md	completed	Recommended execution sequence including revision-stage steps.
Python revision dependencies	requirements-revision.txt	completed	Python packages for revision-stage scripts.
Ignored files	.gitignore	completed	Prevents raw matrices, RDS objects, zip archives, and cache files from being committed.
